屏東縣崁頂鄉,中正路117號(崁頂分駐所) - 第7河川局_崁頂,O1R63
高雄市那瑪夏區,(曾文水庫表湖雨量站旁)_表湖,C0V15
屏東縣崁頂鄉,崁頂村興農路20之10號(崁頂消防分隊)_崁頂,C0R52
屏東縣屏東市,復興路245號(台糖屏東區處場區)_屏東,C0R17
臺南市中西區,公園路21號_臺南,46741
臺南市將軍區,將貴里58號(將軍國小)_將軍,C0X28
花蓮縣光復鄉,大農段691地號(花蓮糖廠大農農場)_大農,C1T97
臺南市北門區,北門里舊埕108號(北門區公所)_北門,C0X29
屏東縣新埤鄉,民眾路103號(新埤消防分隊)_新埤,C0R55
臺南市南化區,關山里96號(瑞峰國小) - 第6河川局_關山,01O76
高雄市桃源區,高中里_高中,C1V23
高雄市桃源區,梅山巷55號(青年活動中心) - 第7河川局_梅山(2),01V06
高雄市旗山區,延平一路499號(旗山區公所)_旗山,C0V74
臺南市安平區,城平路2號(台江國家公園管理處)_安平,C0X19
高雄市永安區,永安路32號(永安消防分隊)_永安,C0V62
高雄市茄萣區,濱海路四段27號(茄萣區公所)_茄萣,C0V63
屏東縣三地門鄉,德文村口(公墓旁)_上德文,C1R12
新竹縣五峰鄉,(羅山工作站後山、羅山瞭望台旁)_太閣南,C1D42
臺南市鹽水區,竹埔里1號(竹埔派出所)_鹽水,C0X23
屏東縣佳冬鄉,佳昌路2號(佳冬鄉公所)_佳冬,C0R54
花蓮縣鳳林鎮,鳳義里 - 水保局_鳳義坑,81T9J
屏東縣高樹鄉,興中路329號(高樹鄉公所)_高樹,C0R47
屏東縣三地門鄉,沙溪林道19.2K高處(尾寮山瞭望台旁)_尾寮山,C0R10
高雄市桃源區,復興里復興巷1鄰15號_復興,C0V21
花蓮縣壽豐鄉,10鄰山嶺80-1號(中華電信賀田山機房旁)_大坑,C0T9E
屏東縣高樹鄉,新豐村民安路1-10號 - 第7河川局_新豐(1),O1R45
花蓮縣鳳林鎮,_鳳林山,C0T9G
花蓮縣光復鄉,東富路六十號(東富國小) - 第9河川局_東富,01T9L
屏東縣竹田鄉,中正路123號(竹田鄉公所)_竹田,C0R50
花蓮縣萬榮鄉,西林村 - 第9河川局_新東礦,01T67
彰化縣員林市,萬年里明倫路2號(明倫國中)_員林,C0G65
高雄市梓官區,梓官路258號(梓官區公所)_梓官,C0V61
臺南市南化區,關山里西阿里山關83號(瑞峰國小附近)_關山,C1O88
嘉義縣阿里山鄉,中正村4鄰東阿里山73-1號_阿里山,46753
嘉義縣阿里山鄉,茶山路62號之1(茶山村衛生室)_茶山,C0M80
高雄市桃源區,(藤枝森林遊樂區遊客中心)_藤枝,C1V60
高雄市楠梓區,德民路1010號(國昌國中)_楠梓,C0V67
臺南市歸仁區,中正北路三段60號(保西國小)_媽廟,C0O99
屏東縣三地門鄉,口社村5鄰信義巷58-5號_口社,C1R11
高雄市美濃區,吉東里吉頂路19號(吉東國小)_吉東,C1V57
南投縣信義鄉,楠溪林道0K+200(玉山登山口附近) - 第7河川局_楠溪,O1I36
花蓮縣萬榮鄉,西林路8鄰114號(西林國小)_西林,C0T90
屏東縣琉球鄉,天台段596、597地號_琉球嶼,C0R27
屏東縣林邊鄉,光林村和平路45號(林邊鄉衛生所)_林邊,C0R53
花蓮縣壽豐鄉,大學路二段1號(國立東華大學)_東華,C0Z10
屏東縣屏東市,建國路291號 - 第7河川局_屏東(5),00Q07
高雄市仁武區,中正路133號(仁武區公所)_仁武,C0V68
高雄市彌陀區,中正北路7號(彌陀消防分隊)_彌陀,C0V65
高雄市六龜區,大津里34號(大津登山訓練中心)_大津,C1V34
