彰化縣埔心鄉,C0G810,1000715,23.9476,120.5255
彰化縣永靖鄉,,1000716,23.91839585,120.53556395
彰化縣社頭鄉,C0G860,1000717,23.8976,120.5862
彰化縣二水鄉,C0G880,1000718,23.8107,120.6173
彰化縣北斗鎮,C0G840,1000719,23.8776,120.5142
彰化縣二林鎮,C0G730,1000720,23.9033,120.3761
彰化縣田尾鄉,C0G820,1000721,23.9017,120.5094
彰化縣埤頭鄉,C0G830,1000722,23.8660,120.4528
彰化縣芳苑鄉,C0G870,1000723,23.9223,120.3200
彰化縣大城鄉,C0G740,1000724,23.8525,120.3209
彰化縣竹塘鄉,C0G750,1000725,23.8466,120.3825
彰化縣溪州鄉,C0G720,1000726,23.8516,120.4991
南投縣南投市,,1000801,23.92176445,120.68080945
南投縣埔里鎮,C1H880,1000802,24.0168,121.0149
南投縣草屯鎮,C0H960,1000803,23.9737,120.6809
南投縣竹山鎮,C0I110,1000804,23.7612,120.6882
南投縣集集鎮,C1I170,1000805,23.8264,120.7750
南投縣名間鄉,C1I280,1000806,23.8208,120.6426
南投縣鹿谷鄉,C0I090,1000807,23.7281,120.7873
南投縣中寮鄉,C0H950,1000808,23.8844,120.7664
南投縣魚池鄉,467650,1000809,23.8813,120.9081
南投縣國姓鄉,C1H920,1000810,24.1020,120.8799
南投縣水里鄉,C1I160,1000811,23.7799,120.8715
南投縣信義鄉,467550,1000812,23.4876,120.9595
南投縣仁愛鄉,C0H990,1000813,24.1213,121.2736
雲林縣斗六市,C0K400,1000901,23.7206,120.5411
雲林縣斗南鎮,C0K460,1000902,23.6787,120.4784
雲林縣虎尾鎮,C0K330,1000903,23.7192,120.4420
雲林縣西螺鎮,C0K420,1000904,23.8004,120.4674
雲林縣土庫鎮,C0K390,1000905,23.6790,120.3956
雲林縣北港鎮,C0K410,1000906,23.5740,120.2928
雲林縣古坑鄉,C0K240,1000907,23.5956,120.6935
雲林縣大埤鄉,C0K450,1000908,23.6461,120.4315
雲林縣莿桐鄉,,1000909,23.76540985,120.53540965
雲林縣林內鄉,,1000910,23.7524077,120.6132376
雲林縣二崙鄉,,1000911,23.78722585,120.3981784
雲林縣崙背鄉,C1K250,1000912,23.7556,120.3189
雲林縣麥寮鄉,,1000913,23.7878962,120.23180715
雲林縣東勢鄉,C0K520,1000914,23.6744,120.1548
雲林縣褒忠鄉,C0K430,1000915,23.6909,120.3036
雲林縣臺西鄉,,1000916,23.7105486,120.2011833
雲林縣元長鄉,C0K500,1000917,23.6498,120.3150
雲林縣四湖鄉,C0K280,1000918,23.6304,120.2271
雲林縣口湖鄉,C0K291,1000919,23.5363,120.1693
雲林縣水林鄉,C0K510,1000920,23.5729,120.2460
嘉義市東區,C0M730,1002001,23.4577,40
嘉義市西區,467480,1002002,23.4959,120.4329
嘉義縣太保市,C0M680,1001001,23.4551,120.3315
嘉義縣朴子市,C0M650,1001002,23.4348,120.2684
嘉義縣布袋鎮,C0M750,1001003,23.3809,120.1678
嘉義縣大林鎮,C0M670,1001004,23.6006,120.4584
嘉義縣民雄鄉,C0M760,1001005,23.5518,120.4285
